NAME	TYPE	SMILES
PROPYLENE_GLYCOL_RICINOLEATE	IIG	CCCCCCC(O)C/C=C\CCCCCCCC(=O)OCC(C)O
TRIHYDROXYSTEARIN	IIG	CCCCCCC(O)CCCCCCCCCCC(=O)OCC(COC(=O)CCCCCCCCCCC(O)CCCCCC)OC(=O)CCCCCCCCCCC(O)CCCCCC
Caprylic_Acid	GRAS	CCCCCCCC(=O)O
PROPYLENE_GLYCOL_DICAPRYLATE	IIG	CCCCCCCC(=O)OCC(C)OC(=O)CCCCCCC
TRICAPRYLIN	IIG	CCCCCCCC(=O)OCC(COC(=O)CCCCCCC)OC(=O)CCCCCCC
GLYCERYL_MONOCAPRYLATE	IIG	CCCCCCCC(=O)OCC(O)CO
Iron_caprylate_(packaging)	GRAS	CCCCCCCC(=O)[O-].[Fe]
DISODIUM_OLEAMIDO_MONOETHANOLAMINE_SULFOSUCCINATE	IIG	CCCCCCCC/C=C/CCCCCCCC(=O)NCCOC(=O)CC(C(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]
Oleic_acid_(packaging)	GRAS	CCCCCCCC/C=C/CCCCCCCC(=O)O
ETHYL_OLEATE	IIG	CCCCCCCC/C=C/CCCCCCCC(=O)OCC
PPG-26_OLEATE	IIG	CCCCCCCC/C=C/CCCCCCCC(=O)OCCCO
POLYSORBATE_80	IIG	CCCCCCCC/C=C/CCCCCCCC(=O)OCCOCC(OCCO)C1OC(OCCO)CC1OCCO
SORBITAN_SESQUIOLEATE	IIG	CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCC(=O)O.CCCCCCCC/C=C\CCCCCCCC(=O)O.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO.OC[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
GLYCERYL_OLEATE	IIG	CCCCCCCC/C=C\CCCCCCCC(=O)O.OCC(O)CO
GLYCERYL_TRIOLEATE	IIG	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(COC(=O)CCCCCCC/C=C\CCCCCCCC)OC(=O)CCCCCCC/C=C\CCCCCCCC
SORBITAN_MONOOLEATE	IIG	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(O)[C@H]1OC[C@@H](O)[C@@H]1O
SORBITAN_TRIOLEATE	IIG	CCCCCCCC/C=C\CCCCCCCC(=O)OCC(OC(=O)CCCCCCC/C=C\CCCCCCCC)[C@H]1OC[C@@H](O)[C@@H]1OC(=O)CCCCCCC/C=C\CCCCCCCC
PEG-5_OLEATE	IIG	CCCCCCCC/C=C\CCCCCCCC(=O)OCCO
1,2-DIOLEOYL-SN-GLYCERO-3-PHOSPHOCHOLINE	IIG	CCCCCCCC/C=C\CCCCCCCC(=O)OC[C@@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCCCC
Aluminum_oleate_(packaging)	GRAS	CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC/C=C\CCCCCCCC(=O)[O-].CCCCCCCC/C=C\CCCCCCCC(=O)[O-].[Al+3]
